Sample;Mapped_reads
CE10;2831317
CE11;4639899
CE12;5158101
CE13;4949537
CE14;4046529
CE15;2506852
CE16;3472565
CE17;2985328
CE18;3111601
CE2;8414251
CE21;23228255
CE22;6423688
CE23;2387337
CE24;5534077
CE25;7305975
CE26;3288126
CE27;5761523
CE28;3886626
CE29;4536469
CE3;5877876
CE30;6122597
CE31;3077349
CE32;4236468
CE33;4873624
CE34;6562945
CE35;4094287
CE36;2525942
CE37;7669674
CE38;3905267
CE39;2600529
CE4;2825850
CE40;3497686
CE41;3405582
CE43;5238876
CE44;2595169
CE46;1438035
CE47;1495263
CE49;1580553
CE5;4375458
CE50;955014
CE51;3422912
CE52;2606902
CE53;4347179
CE6;4470359
CE7;2581419
CE9;3342514
