Names,Sample_or_Control,Collection Date,Month,Windows,How many people(average of start and end),,,,
CE18,Sample,10/01/2022,January,Closed,15,,,,
CE31,Sample,19/01/2022,January,Closed,6,,,,
CE50,Sample,24/01/2022,January,Closed,10,,,,
CE51,Sample,26/01/2022,January,Closed,10,,,,
CE52,Sample,31/01/2022,January,Closed,15,,,,
CE49,Sample,07/02/2022,February,Closed,15,,,,
CE19,Sample,09/02/2022,February,Closed,16,,,,
CE11,Sample,21/02/2022,February,Closed,20,,,,
CE38,Sample,23/02/2022,February,Closed,16,,,,
CE37,Sample,04/03/2022,March,Closed,17,,,,
CE10,Sample,07/03/2022,March,Closed,23,,,,
CE32,Sample,09/03/2022,March,Closed,18,,,,
CE34,Sample,11/03/2022,March,Closed,23,,,,
CE36,Sample,14/03/2022,March,Closed,21,,,,
CE35,Sample,16/03/2022,March,Closed,20,,,,
CE30,Sample,21/03/2022,March,Closed,22,,AV,17.84615385,2-4 adults and rest is children.
CE33,Sample,23/03/2022,March,Open,18,,STDEV,3.688805694,
CE29,Sample,30/03/2022,March,Closed,17,,MIN:MAX,6:23,
CE42,Sample,01/04/2022,April,,,,,,
CE43,Sample,04/04/2022,April,Closed,15,,,,
CE44,Sample,08/04/2022,April,Closed,16,,,,
CE45,Sample,20/04/2022,April,,,,,,
CE46,Sample,25/04/2022,April,Open,22,,,,
CE47,Sample,27/04/2022,April,Open,18,,,,
CE20,Sample,02/05/2022,May,,,,,,
CE48,Sample,06/05/2022,May,Open,20,,,,
CE28,Sample,11/05/2022,May,Open,20,,,,
CE26,Sample,18/05/2022,May,Open,16,,,,
CE15,Sample,23/05/2022,May,Open,21,,,,
CE21,Sample,30/05/2022,May,Open,18,,,,
CE7,Sample,08/06/2022,June,Open,18,,,,
CE14,Sample,15/06/2022,June,Open,14,,,,
CE6,Sample,22/06/2022,June,Open,19,,,,
CE4,Sample,29/06/2022,June,Open,23,,,,
CE22,Sample,06/07/2022,July,Open,18,,,,
CE3,Sample,13/07/2022,July,Open,18,,,,
CE2,Sample,07/09/2022,September,Open,19,,,,
CE25,Sample,14/09/2022,September,Open,18,,,,
CE1,Sample,21/09/2022,September,Open,18,,,,
CE39,Sample,28/09/2022,September,Open,20,,,,
CE5,Sample,05/10/2022,October,Open,,,,,
CE24,Sample,12/10/2022,October,Open,20,,,,
CE13,Sample,19/10/2022,October,Open,,,,,
CE27,Sample,26/10/2022,October,Open,23,,,,
CE9,Sample,09/11/2022,November,Closed,,,,,
CE12,Sample,16/11/2022,November,Closed,,,,,
CE16,Sample,23/11/2022,November,Closed,,,,,
CE8,Sample,30/11/2022,November,Closed,,,,,
CE23,Sample,07/12/2022,December,Closed,,,,,
CE17,Control,02/01/2023,January,Closed,,,,,
CE40,Control,02/01/2023,January,Closed,,,,,
CE41,Control,02/01/2023,January,Closed,,,,,
CE53,Control,02/01/2023,January,Closed,,,,,
