,samplingDate,humidity_mean,light_mean,motion_mean,temperature_mean,co2_mean,co2_max,battery_mean,sampling_duration,sensor_samples_co2,sensor_samples_humidity,sensor_samples_temperature,Names,Sample_or_Control,Month,Windows,How many people(average of start and end)
1,2022-01-10,30.7692307692308,122.461538461538,15.6923076923077,20.6307692307692,835.538461538462,1000,3641,2.25,13,13,13,CE18,Sample,January,Closed,15
2,2022-01-19,30.7692307692308,NA,NA,21,574.538461538462,607,NA,2.36666666666667,13,13,13,CE31,Sample,January,Closed,6
3,2022-01-24,29.1,NA,NA,20.4,594.9,717,NA,1.88333333333333,10,10,10,CE50,Sample,January,Closed,10
4,2022-01-26,29.2727272727273,120.454545454545,15.8181818181818,20.9909090909091,697.181818181818,717,3640.72727272727,1.88333333333333,11,11,11,CE51,Sample,January,Closed,10
5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,CE52,Sample,January,Closed,15
6,2022-02-07,36.4285714285714,89.4285714285714,18.2857142857143,20.6857142857143,1009,1122,3640.57142857143,1.85,7,7,7,CE49,Sample,February,Closed,15
7,2022-02-09,41.5,NA,NA,20.9083333333333,969.833333333333,1137,NA,2.13333333333333,12,12,12,CE19,Sample,February,Closed,16
8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,CE11,Sample,February,Closed,20
9,2022-02-23,34.2307692307692,NA,NA,21.2923076923077,709.769230769231,868,NA,2.08333333333333,13,13,13,CE38,Sample,February,Closed,16
10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,CE37,Sample,March,Closed,17
11,2022-03-07,24.6363636363636,166.272727272727,6.54545454545454,21.6909090909091,1035.90909090909,1119,3644.63636363636,2.03333333333333,11,11,11,CE10,Sample,March,Closed,23
12,2022-03-09,23.1538461538462,115,7.61538461538462,22.0153846153846,731.461538461538,971,3643.23076923077,2.2,13,13,13,CE32,Sample,March,Closed,18
13,2022-03-11,24.4285714285714,82.5,9.71428571428571,21.8642857142857,711.214285714286,776,3643.71428571429,2.25,14,14,14,CE34,Sample,March,Closed,23
14,2022-03-14,38.0909090909091,105.181818181818,9.63636363636364,21.1818181818182,900.363636363636,991,3644.36363636364,2.18333333333333,11,11,11,CE36,Sample,March,Closed,21
15,2022-03-16,34.0909090909091,NA,NA,21.8272727272727,820.727272727273,894,NA,1.95,11,11,11,CE35,Sample,March,Closed,20
