CONTIGS;total_genes;viral_genes;checkv_quality;completeness
NODE_A2569_length_1188_cov_57.149415_CE2;1;0;Not-determined;NA
NODE_A99_length_2183_cov_11.711301_CE7;2;0;Not-determined;NA
NODE_A848_length_1106_cov_25.689990_CE11;4;0;Not-determined;NA
NODE_A145_length_2147_cov_26.657005_CE12;1;0;Not-determined;NA
NODE_A1089_length_1152_cov_17.307907_CE12;2;0;Not-determined;NA
NODE_A497_length_1145_cov_20.346442_CE15;1;0;Not-determined;NA
NODE_A1236_length_1012_cov_8.517647_CE16;4;0;Not-determined;NA
NODE_A206_length_1410_cov_9.870968_CE17;3;0;Not-determined;NA
NODE_A274_length_1282_cov_14.058091_CE17;3;0;Not-determined;NA
NODE_A100_length_1729_cov_32.993947_CE18;8;0;Not-determined;NA
NODE_A508_length_1096_cov_106.271835_CE18;2;0;Not-determined;NA
NODE_A697_length_1009_cov_106.247854_CE18;3;0;Not-determined;NA
NODE_A586_length_2692_cov_57.720459_CE21;2;0;Not-determined;NA
NODE_A5097_length_1245_cov_42.144692_CE21;1;0;Not-determined;NA
NODE_A5423_length_1211_cov_161.612875_CE21;4;0;Not-determined;NA
NODE_A7096_length_1058_cov_79.012232_CE21;2;0;Not-determined;NA
NODE_B82_length_1799_cov_11.261905_CE22;2;0;Not-determined;NA
NODE_A951_length_1247_cov_91.036752_CE22;4;0;Not-determined;NA
NODE_A1181_length_1151_cov_184.220670_CE22;1;0;Not-determined;NA
NODE_B587_length_1070_cov_6.690836_CE22;1;0;Not-determined;NA
NODE_A200_length_1573_cov_16.551471_CE23;2;0;Not-determined;NA
NODE_A275_length_1431_cov_38.221566_CE23;6;0;Not-determined;NA
NODE_A300_length_1395_cov_7.330804_CE23;4;0;Not-determined;NA
NODE_A175_length_1904_cov_195.882321_CE24;1;0;Not-determined;NA
NODE_A277_length_1741_cov_12.339543_CE24;0;0;Not-determined;NA
NODE_A815_length_1426_cov_9.553744_CE24;2;0;Not-determined;NA
NODE_A2076_length_1684_cov_18.808339_CE25;6;0;Not-determined;NA
NODE_A3461_length_1279_cov_13.597338_CE25;1;0;Not-determined;NA
NODE_A4748_length_1082_cov_10.190050_CE25;5;0;Not-determined;NA
