accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,subspecies,strain,sample_ID,total_filtered_reads_in_sample,...1,samplingDate,humidity_mean,light_mean,motion_mean,temperature_mean,co2_mean,co2_max,battery_mean,sampling_duration,sensor_samples_co2,sensor_samples_humidity,sensor_samples_temperature,Sample_or_Control,Month,Windows,How many people(average of start and end),...19,...20,...21,...22
AY720891.1,6723,2261,493,7.3164463,4.04082,"Human astrovirus type 4 strain Dresden, complete genome",35300,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,Human astrovirus 4,Human astrovirus 4,CE28,18147382,24,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample,May,Open,20,NA,NA,NA,NA
FJ755404.1,6771,728,34,0.5024921,0.276702,"Human astrovirus 1 Beijing/291/2007/CHN, complete genome",626180,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,Human astrovirus 1 Beijing/291/2007/CHN,Human astrovirus 1 Beijing/291/2007/CHN,CE28,18147382,24,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample,May,Open,20,NA,NA,NA,NA
GU233853.1,7219,1166,173,2.8906493,1.32055,"Human papillomavirus type 129, complete genome",931210,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,Human papillomavirus type 129,Human papillomavirus type 129,CE28,18147382,24,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample,May,Open,20,NA,NA,NA,NA
JX262162.1,4939,678,38,0.9258718,0.423966,"Human polyomavirus 10 isolate 10ww, complete genome",1208309,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,unclassified Deltapolyomavirus decihominis subspecies/strain,unclassified Deltapolyomavirus decihominis strain,CE28,18147382,24,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample,May,Open,20,NA,NA,NA,NA
KY490071.1,235397,201,16,0.007821566,0.00374546,"Human betaherpesvirus 5 strain HANChild1, complete genome",10359,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5,unclassified Human betaherpesvirus 5 subspecies/strain,unclassified Human betaherpesvirus 5 strain,CE28,18147382,24,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample,May,Open,20,NA,NA,NA,NA
MF684776.1,6803,1447,247,4.2406435,2.0007,"Human astrovirus 5 isolate 2013/Fuzhou/85, complete genome",35741,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,Human astrovirus 5,Human astrovirus 5,CE28,18147382,24,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample,May,Open,20,NA,NA,NA,NA
HM011556.1,5387,838,22,0.4378461,0.205266,"Merkel cell polyomavirus isolate R17b, complete genome",493803,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus quintihominis,Merkel cell polyomavirus,Merkel cell polyomavirus,CE34,19895646,13,2022-03-11,24.4285714285714,82.5,9.71428571428571,21.8642857142857,711.214285714286,776,3643.71428571429,2.25,14,14,14,Sample,March,Closed,23,NA,NA,NA,NA
JX262162.1,4939,1816,99,2.2305284,1.00748,"Human polyomavirus 10 isolate 10ww, complete genome",1208309,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,unclassified Deltapolyomavirus decihominis subspecies/strain,unclassified Deltapolyomavirus decihominis strain,CE34,19895646,13,2022-03-11,24.4285714285714,82.5,9.71428571428571,21.8642857142857,711.214285714286,776,3643.71428571429,2.25,14,14,14,Sample,March,Closed,23,NA,NA,NA,NA
KY629935.1,7130,557,21,0.2858166,0.148037,"Rhinovirus A59 strain 16-J2, complete genome",185918,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Rhinovirus A,rhinovirus A59,rhinovirus A59,CE34,19895646,13,2022-03-11,24.4285714285714,82.5,9.71428571428571,21.8642857142857,711.214285714286,776,3643.71428571429,2.25,14,14,14,Sample,March,Closed,23,NA,NA,NA,NA
AF043303.1,4679,2569,174,4.385074,2.53034,"Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,adeno-associated virus 2,adeno-associated virus 2,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
